סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_6,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
2100      ,טירת כרמל                ,31        ,חיפה                     ,31        ,חיפה                     ,0         ,                         ,25608     ,2451      ,4144      ,9387      ,2635      ,2654      ,4337
2200      ,דימונה                   ,62        ,באר שבע                  ,62        ,באר שבע                  ,0         ,                         ,39690     ,3347      ,7444      ,14473     ,4719      ,3769      ,5938
2300      ,קרית טבעון               ,31        ,חיפה                     ,31        ,חיפה                     ,0         ,                         ,18232     ,1026      ,3352      ,5513      ,2494      ,1834      ,4013
2400      ,אור יהודה                ,52        ,רמת גן                   ,52        ,רמת גן                   ,0         ,                         ,37418     ,3416      ,6934      ,13524     ,4140      ,3817      ,5587
2500      ,נשר                      ,31        ,חיפה                     ,31        ,חיפה                     ,0         ,                         ,25315     ,1649      ,3704      ,9025      ,3019      ,2845      ,5073
2530      ,באר יעקב                 ,43        ,רמלה                     ,43        ,רמלה                     ,0         ,                         ,27581     ,4170      ,6633      ,10657     ,2380      ,1534      ,2207
2550      ,גדרה                     ,44        ,רחובות                   ,44        ,רחובות                   ,0         ,                         ,26863     ,2083      ,7188      ,9096      ,3750      ,1794      ,2952
2560      ,ערד                      ,62        ,באר שבע                  ,62        ,באר שבע                  ,0         ,                         ,31389     ,3607      ,5526      ,10235     ,3396      ,2867      ,5758
2600      ,אילת                     ,62        ,באר שבע                  ,63        ,אילת                     ,0         ,                         ,67594     ,4324      ,10575     ,27227     ,9533      ,6895      ,9040
2610      ,בית שמש                  ,11        ,ירושלים                  ,13        ,בית שמש                  ,0         ,                         ,135114    ,22966     ,45341     ,46309     ,8870      ,5268      ,6360
2620      ,קרית אונו                ,52        ,רמת גן                   ,52        ,רמת גן                   ,0         ,                         ,41717     ,3168      ,9361      ,12865     ,5668      ,3269      ,7386
2630      ,קרית גת                  ,61        ,אשקלון                   ,61        ,אשקלון                   ,0         ,                         ,63008     ,7135      ,12547     ,22722     ,5850      ,5765      ,8989
2640      ,ראש העין                 ,42        ,פתח תקווה                ,42        ,פתח תקוה                 ,0         ,                         ,64470     ,8115      ,12667     ,25306     ,6611      ,5925      ,5846
2650      ,רמת השרון                ,51        ,תל אביב                  ,57        ,הרצליה                   ,0         ,                         ,51898     ,3672      ,10323     ,14922     ,7297      ,4514      ,11170
2660      ,יבנה                     ,44        ,רחובות                   ,44        ,רחובות                   ,0         ,                         ,50138     ,5833      ,10465     ,18596     ,4746      ,4120      ,6378
2710      ,אום אל-פחם               ,32        ,חדרה                     ,23        ,עפולה                    ,0         ,                         ,56914     ,5942      ,15341     ,23410     ,6127      ,3408      ,2686
2720      ,טירה                     ,41        ,השרון                    ,41        ,נתניה                    ,0         ,                         ,27252     ,2466      ,6158      ,11493     ,3002      ,2129      ,2004
